Unnamed: 0,county,gallons_from_great_lakes,gallons_from_groundwater,gallons_from_inland_surface,total_gallons_all_sources,industry,year
906,Schoolcraft,0,0,0,0,Electric Power Generation,2015
907,Shiawassee,0,0,0,0,Electric Power Generation,2015
908,Tuscola,0,0,0,0,Electric Power Generation,2015
909,Van Buren,45587640000,0,0,45587640000,Electric Power Generation,2015
910,Washtenaw,0,0,0,0,Electric Power Generation,2015
911,Wayne,202800983052,0,66202000000,269002983052,Electric Power Generation,2015
912,Wexford,0,0,0,0,Electric Power Generation,2015
913,Alcona,1328730136,101122557,0,1429852693,Industrial-Manufacturing,2015
914,Alger,0,893367436,331162688,1224530124,Industrial-Manufacturing,2015
915,Allegan,0,12833000,1604400000,1617233000,Industrial-Manufacturing,2015
916,Alpena,0,2200000,0,2200000,Industrial-Manufacturing,2015
918,Arenac,127003872,0,0,127003872,Industrial-Manufacturing,2015
919,Baraga,0,146633130,97940000,244573130,Industrial-Manufacturing,2015
920,Barry,0,40810000,797872071,838682071,Industrial-Manufacturing,2015
921,Bay,0,41788570,0,41788570,Industrial-Manufacturing,2015
922,Benzie,0,300388500,0,300388500,Industrial-Manufacturing,2015
923,Berrien,0,42924530,147333600,190258130,Industrial-Manufacturing,2015
924,Branch,0,1432925677,450467261,1883392938,Industrial-Manufacturing,2015
925,Calhoun,0,180000,399267000,399447000,Industrial-Manufacturing,2015
926,Cass,354047500,3954580550,1037915280,5346543330,Industrial-Manufacturing,2015
927,Charlevoix,0,4375612,248797917,253173529,Industrial-Manufacturing,2015
928,Cheboygan,303600000,0,0,303600000,Industrial-Manufacturing,2015
929,Chippewa,0,28828450,298570000,327398450,Industrial-Manufacturing,2015
930,Clare,0,224966777,0,224966777,Industrial-Manufacturing,2015
931,Clinton,0,39855692,0,39855692,Industrial-Manufacturing,2015
932,Crawford,13734254000,55900187,165140057,13955294244,Industrial-Manufacturing,2015
933,Delta,0,17684700,7791000000,7808684700,Industrial-Manufacturing,2015
934,Dickinson,0,1040000,0,1040000,Industrial-Manufacturing,2015
935,Eaton,0,9720376,0,9720376,Industrial-Manufacturing,2015
936,Emmet,0,5686560,0,5686560,Industrial-Manufacturing,2015
937,Genesee,0,5553678,0,5553678,Industrial-Manufacturing,2015
938,Gladwin,0,61250000,0,61250000,Industrial-Manufacturing,2015
939,Gogebic,0,214717861,0,214717861,Industrial-Manufacturing,2015
940,Grand Traverse,0,49482331,95760000,145242331,Industrial-Manufacturing,2015
941,Gratiot,0,134512515,0,134512515,Industrial-Manufacturing,2015
943,Houghton,0,9100000,0,9100000,Industrial-Manufacturing,2015
944,Huron,0,31953396,143325000,175278396,Industrial-Manufacturing,2015
945,Ingham,0,15765000,0,15765000,Industrial-Manufacturing,2015
946,Ionia,0,69256378,14581876,83838254,Industrial-Manufacturing,2015
947,Iosco,0,0,0,0,Industrial-Manufacturing,2015
948,Iron,0,0,420000000,420000000,Industrial-Manufacturing,2015
949,Isabella,0,224368107,279138600,503506707,Industrial-Manufacturing,2015
950,Jackson,0,7363202260,1498127511,8861329771,Industrial-Manufacturing,2015
952,Kalkaska,0,300637719,182401250,483038969,Industrial-Manufacturing,2015
955,Lake,0,70200000,0,70200000,Industrial-Manufacturing,2015
956,Lapeer,0,154703594,15464250,170167844,Industrial-Manufacturing,2015
957,Leelanau,0,308398307,5154900,313553207,Industrial-Manufacturing,2015
958,Lenawee,0,337068338,1085800000,1422868338,Industrial-Manufacturing,2015
959,Livingston,0,19178408,0,19178408,Industrial-Manufacturing,2015
960,Luce,3506088000,4302000,0,3510390000,Industrial-Manufacturing,2015
961,Mackinac,0,13183408,0,13183408,Industrial-Manufacturing,2015
962,Macomb,910711385,195205382,8545610000,9651526767,Industrial-Manufacturing,2015
963,Manistee,0,103572018,6690520168,6794092186,Industrial-Manufacturing,2015
964,Marquette,0,204585518,9352675002,9557260520,Industrial-Manufacturing,2015
965,Mason,0,404726728,6900000,411626728,Industrial-Manufacturing,2015
966,Mecosta,0,2721315,476490000,479211315,Industrial-Manufacturing,2015
967,Menominee,0,0,1408213000,1408213000,Industrial-Manufacturing,2015
969,Missaukee,0,8989621811,0,8989621811,Industrial-Manufacturing,2015
970,Monroe,0,5995012,4899600000,4905595012,Industrial-Manufacturing,2015
972,Montmorency,0,786761587,2496291000,3283052587,Industrial-Manufacturing,2015
973,Muskegon,0,7514649,0,7514649,Industrial-Manufacturing,2015
974,Newaygo,0,1006291399,3213476510,4219767909,Industrial-Manufacturing,2015
975,Oakland,0,101616286,0,101616286,Industrial-Manufacturing,2015
977,Ogemaw,0,0,0,0,Industrial-Manufacturing,2015
978,Ontonagon,0,347036040,0,347036040,Industrial-Manufacturing,2015
980,Oscoda,0,656780,0,656780,Industrial-Manufacturing,2015
981,Otsego,0,117985855,330333092,448318947,Industrial-Manufacturing,2015
982,Ottawa,1727022960,8770514,7503645732,9239439206,Industrial-Manufacturing,2015
983,Presque Isle,0,0,0,0,Industrial-Manufacturing,2015
984,Roscommon,0,0,0,0,Industrial-Manufacturing,2015
985,Saginaw,5175699830,0,0,5175699830,Industrial-Manufacturing,2015
986,Saint Clair,0,458460356,90943702,549404058,Industrial-Manufacturing,2015
987,Saint Joseph,0,137064060,0,137064060,Industrial-Manufacturing,2015
988,Sanilac,1139490000,3528686,0,1143018686,Industrial-Manufacturing,2015
989,Schoolcraft,0,855000,6900000,7755000,Industrial-Manufacturing,2015
990,Shiawassee,0,0,97200000,97200000,Industrial-Manufacturing,2015
991,Tuscola,0,398601334,0,398601334,Industrial-Manufacturing,2015
992,Van Buren,0,393235148,261670000,654905148,Industrial-Manufacturing,2015
993,Washtenaw,84712932150,529301000,245088196,85487321346,Industrial-Manufacturing,2015
994,Wayne,0,4578745,0,4578745,Industrial-Manufacturing,2015
996,Alcona,0,32694683,9312000,42006683,Irrigation,2015
997,Alger,0,10400000,0,10400000,Irrigation,2015
998,Allegan,0,3032486847,2420390010,5452876857,Irrigation,2015
999,Alpena,0,15851000,26500000,42351000,Irrigation,2015
1000,Antrim,0,3274835750,46033866,3320869616,Irrigation,2015
1001,Arenac,0,28751937,59727630,88479567,Irrigation,2015
1002,Baraga,0,0,3509000,3509000,Irrigation,2015
1003,Barry,0,822689997,505451620,1328141617,Irrigation,2015
1004,Bay,7300000,38527100,691785113,737612213,Irrigation,2015
1005,Benzie,0,285330148,0,285330148,Irrigation,2015
1006,Berrien,1680000,3212146975,1157068157,4370895132,Irrigation,2015
1007,Branch,0,4730668107,2211568139,6942236246,Irrigation,2015
1008,Calhoun,0,1441055357,896817955,2337873312,Irrigation,2015
1009,Cass,0,10648662366,576792610,11225454976,Irrigation,2015
1010,Charlevoix,0,51427850,39800000,91227850,Irrigation,2015
1011,Cheboygan,0,88723230,4632256060,4720979290,Irrigation,2015
1012,Chippewa,12000000,43781708,0,55781708,Irrigation,2015
1013,Clare,0,78914233,5341000,84255233,Irrigation,2015
1014,Clinton,0,218158715,547054037,765212752,Irrigation,2015
1015,Crawford,0,43192000,102416236,145608236,Irrigation,2015
1016,Delta,13700000,20536498,57903845,92140343,Irrigation,2015
1017,Dickinson,0,30174716,30673192,60847908,Irrigation,2015
1018,Eaton,0,42315006,42652780,84967786,Irrigation,2015
1019,Emmet,49200000,234157213,0,283357213,Irrigation,2015
1020,Genesee,0,109965445,59635900,169601345,Irrigation,2015
1021,Gladwin,0,0,541825,541825,Irrigation,2015
1022,Gogebic,0,0,0,0,Irrigation,2015
1023,Grand Traverse,0,506449356,53544515,559993871,Irrigation,2015
1024,Gratiot,0,2333317753,163297909,2496615662,Irrigation,2015
1025,Hillsdale,0,1113282812,224684411,1337967223,Irrigation,2015
1026,Houghton,0,487081,10332000,10819081,Irrigation,2015
1027,Huron,2826000,85268147,196020560,284114707,Irrigation,2015
1028,Ingham,0,177380061,50044530,227424591,Irrigation,2015
1029,Ionia,0,340158515,308408041,648566556,Irrigation,2015
1030,Iosco,0,117656000,0,117656000,Irrigation,2015
1031,Iron,0,21839000,13632000,35471000,Irrigation,2015
1032,Isabella,0,2584259102,433017052,3017276154,Irrigation,2015
1033,Jackson,0,1556723486,464691795,2021415281,Irrigation,2015
1034,Kalamazoo,0,4681565798,1024826460,5706392258,Irrigation,2015
1035,Kalkaska,0,1347001604,392129967,1739131571,Irrigation,2015
1036,Kent,0,1474747435,792436701,2267184136,Irrigation,2015
1037,Keweenaw,3067008,766752,0,3833760,Irrigation,2015
1038,Lake,0,0,0,0,Irrigation,2015
1039,Lapeer,0,42407190,73412386,115819576,Irrigation,2015
1040,Leelanau,5699774,547444107,36968586,590112467,Irrigation,2015
1041,Lenawee,0,144584017,296056850,440640867,Irrigation,2015
1042,Livingston,0,243415201,180245332,423660533,Irrigation,2015
1043,Luce,0,438272291,0,438272291,Irrigation,2015
1044,Mackinac,11085000,65000000,7195000,83280000,Irrigation,2015
1045,Macomb,9737592,142514941,490496081,642748614,Irrigation,2015
1046,Manistee,0,409534880,142365000,551899880,Irrigation,2015
1047,Marquette,0,233500,61097085,61330585,Irrigation,2015
1048,Mason,0,859564127,286559214,1146123341,Irrigation,2015
1049,Mecosta,0,3671008797,300340656,3971349453,Irrigation,2015
1050,Menominee,8500000,0,100000,8600000,Irrigation,2015
1051,Midland,0,51910164,27779717,79689881,Irrigation,2015
1052,Missaukee,0,1618669717,204871034,1823540751,Irrigation,2015
1053,Monroe,0,488153504,226267449,714420953,Irrigation,2015
1054,Montcalm,0,11952811840,1231640388,13184452228,Irrigation,2015
1055,Montmorency,0,12521000,52493800,65014800,Irrigation,2015
1056,Muskegon,0,658791579,336061917,994853496,Irrigation,2015
1057,Newaygo,0,1403672035,212741593,1616413628,Irrigation,2015
1058,Oakland,0,888946340,571529049,1460475389,Irrigation,2015
1059,Oceana,0,1479442052,289367111,1768809163,Irrigation,2015
1060,Ogemaw,0,59393274,20560325,79953599,Irrigation,2015
1061,Ontonagon,0,0,0,0,Irrigation,2015
1062,Osceola,0,204123015,43550000,247673015,Irrigation,2015
1063,Oscoda,0,36570600,40950000,77520600,Irrigation,2015
1064,Otsego,0,705030197,0,705030197,Irrigation,2015
1065,Ottawa,0,1800180407,1362480876,3162661283,Irrigation,2015
1066,Presque Isle,0,61349300,22662000,84011300,Irrigation,2015
1067,Roscommon,0,65727426,28462945,94190371,Irrigation,2015
1068,Saginaw,19321424,537726944,148225123,705273491,Irrigation,2015
1069,Saint Clair,24181677,20806800,59756868,104745345,Irrigation,2015
1070,Saint Joseph,0,14384503068,3547119178,17931622246,Irrigation,2015
1071,Sanilac,0,1761006475,11139362750,12900369225,Irrigation,2015
1072,Schoolcraft,0,17378743,43567876,60946619,Irrigation,2015
1073,Shiawassee,0,25708600,55646600,81355200,Irrigation,2015
1074,Tuscola,750570,363728982,984761337,1349240889,Irrigation,2015
1075,Van Buren,0,5913119638,433679278,6346798916,Irrigation,2015
1076,Washtenaw,0,793078263,254114661,1047192924,Irrigation,2015
1077,Wayne,33719147,139469942,207921371,381110460,Irrigation,2015
1078,Wexford,0,756108507,10282000,766390507,Irrigation,2015
1079,Alcona,0,18662400,259200000,277862400,Livestock,2015
1080,Alger,0,0,0,0,Livestock,2015
1081,Allegan,0,170562897,2988024,173550921,Livestock,2015
1082,Alpena,0,0,0,0,Livestock,2015
1083,Antrim,0,240000,0,240000,Livestock,2015
1084,Arenac,0,0,0,0,Livestock,2015
1085,Baraga,0,0,0,0,Livestock,2015
1086,Barry,0,144935948,2000000,146935948,Livestock,2015
1087,Bay,0,0,0,0,Livestock,2015
1088,Benzie,0,3001700,93000,3094700,Livestock,2015
1089,Berrien,0,0,0,0,Livestock,2015
1090,Branch,0,19515000,0,19515000,Livestock,2015
1091,Calhoun,0,13356000,0,13356000,Livestock,2015
1092,Cass,0,39857864,0,39857864,Livestock,2015
1093,Charlevoix,0,0,0,0,Livestock,2015
1094,Cheboygan,0,0,0,0,Livestock,2015
1095,Chippewa,0,24645000,0,24645000,Livestock,2015
1096,Clare,0,2187000,0,2187000,Livestock,2015
1097,Clinton,0,330246486,0,330246486,Livestock,2015
1098,Crawford,0,0,3153600000,3153600000,Livestock,2015
1099,Delta,0,0,0,0,Livestock,2015
1100,Dickinson,0,0,0,0,Livestock,2015
1101,Eaton,0,0,0,0,Livestock,2015
1102,Emmet,0,1664208280,0,1664208280,Livestock,2015
1103,Genesee,0,0,0,0,Livestock,2015
1104,Gladwin,0,0,0,0,Livestock,2015
1105,Gogebic,0,0,0,0,Livestock,2015
1106,Grand Traverse,0,0,0,0,Livestock,2015
1107,Gratiot,0,297022078,0,297022078,Livestock,2015
1108,Hillsdale,0,103815300,0,103815300,Livestock,2015
1109,Houghton,0,0,0,0,Livestock,2015
1110,Huron,0,78576784,0,78576784,Livestock,2015
1111,Ingham,0,55300,0,55300,Livestock,2015
1112,Ionia,0,153466575,0,153466575,Livestock,2015
1113,Iosco,0,0,0,0,Livestock,2015
1114,Iron,0,0,0,0,Livestock,2015
1115,Isabella,0,49774295,0,49774295,Livestock,2015
1116,Jackson,0,678600000,0,678600000,Livestock,2015
1117,Kalamazoo,0,70647976,0,70647976,Livestock,2015
1118,Kalkaska,0,0,0,0,Livestock,2015
1119,Kent,0,66157200,0,66157200,Livestock,2015
1120,Keweenaw,0,0,0,0,Livestock,2015
1121,Lake,0,0,0,0,Livestock,2015
1122,Lapeer,0,8640000,12960000,21600000,Livestock,2015
1123,Leelanau,0,113755,0,113755,Livestock,2015
1124,Lenawee,0,136800720,0,136800720,Livestock,2015
1125,Livingston,0,0,0,0,Livestock,2015
1126,Luce,0,0,0,0,Livestock,2015
1127,Mackinac,0,0,0,0,Livestock,2015
1128,Macomb,0,170825,0,170825,Livestock,2015
1129,Manistee,0,0,0,0,Livestock,2015
1130,Marquette,0,0,0,0,Livestock,2015
1131,Mason,0,34896756,0,34896756,Livestock,2015
1132,Mecosta,0,32618135,0,32618135,Livestock,2015
1133,Menominee,0,9236922,0,9236922,Livestock,2015
1134,Midland,0,46944265,0,46944265,Livestock,2015
1135,Missaukee,0,101764741,0,101764741,Livestock,2015
1136,Monroe,0,0,0,0,Livestock,2015
1137,Montcalm,0,5456487,0,5456487,Livestock,2015
1138,Montmorency,0,1200000,0,1200000,Livestock,2015
1139,Muskegon,0,246773140,0,246773140,Livestock,2015
1140,Newaygo,0,286149218,94176000,380325218,Livestock,2015
1141,Oakland,0,0,0,0,Livestock,2015
1142,Oceana,0,36633826,0,36633826,Livestock,2015
1143,Ogemaw,0,6493010,0,6493010,Livestock,2015
1144,Ontonagon,0,0,0,0,Livestock,2015
1145,Osceola,0,9823000,0,9823000,Livestock,2015
1146,Oscoda,0,0,0,0,Livestock,2015
1147,Otsego,0,0,0,0,Livestock,2015
1148,Ottawa,0,72350075,0,72350075,Livestock,2015
1149,Presque Isle,0,0,0,0,Livestock,2015
1150,Roscommon,0,0,0,0,Livestock,2015
1151,Saginaw,0,0,0,0,Livestock,2015
1152,Saint Clair,0,0,0,0,Livestock,2015
1153,Saint Joseph,0,0,19008000,19008000,Livestock,2015
1154,Sanilac,0,0,0,0,Livestock,2015
1155,Schoolcraft,0,0,0,0,Livestock,2015
1156,Shiawassee,0,65593732,0,65593732,Livestock,2015
1157,Tuscola,0,5339790,0,5339790,Livestock,2015
1158,Van Buren,0,68136000,0,68136000,Livestock,2015
1159,Washtenaw,0,116088000,0,116088000,Livestock,2015
1160,Wayne,0,0,0,0,Livestock,2015
1161,Wexford,0,110376000,3153600000,3263976000,Livestock,2015
1162,Alcona,0,0,0,0,Other,2015
1163,Alger,0,0,0,0,Other,2015
1164,Allegan,0,476286391,71616300,547902691,Other,2015
1165,Alpena,0,0,0,0,Other,2015
1166,Antrim,0,3954993,0,3954993,Other,2015
1167,Arenac,0,0,0,0,Other,2015
1168,Baraga,0,0,0,0,Other,2015
1169,Barry,0,180000,0,180000,Other,2015
1170,Bay,0,0,0,0,Other,2015
1171,Benzie,0,11757000,0,11757000,Other,2015
1172,Berrien,0,45174630,0,45174630,Other,2015
1173,Branch,0,6500,0,6500,Other,2015
1174,Calhoun,0,43844600,0,43844600,Other,2015
1175,Cass,0,17801195,0,17801195,Other,2015
1176,Charlevoix,0,0,0,0,Other,2015
1177,Cheboygan,0,0,0,0,Other,2015
1178,Chippewa,163044000,0,0,163044000,Other,2015
1179,Clare,0,0,0,0,Other,2015
1180,Clinton,0,0,0,0,Other,2015
1181,Crawford,0,0,0,0,Other,2015
1182,Delta,0,0,0,0,Other,2015
1183,Dickinson,0,0,0,0,Other,2015
1184,Eaton,0,0,0,0,Other,2015
1185,Emmet,0,302505998,92000000,394505998,Other,2015
1186,Genesee,0,0,0,0,Other,2015
1187,Gladwin,0,0,0,0,Other,2015
1188,Gogebic,0,0,0,0,Other,2015
1189,Grand Traverse,0,25989599,0,25989599,Other,2015
1190,Gratiot,0,0,0,0,Other,2015
1191,Hillsdale,0,5003500,0,5003500,Other,2015
1192,Houghton,0,0,0,0,Other,2015
1193,Huron,0,500666,0,500666,Other,2015
1194,Ingham,0,12070,0,12070,Other,2015
1195,Ionia,0,8500,0,8500,Other,2015
1196,Iosco,0,0,0,0,Other,2015
1197,Iron,0,0,0,0,Other,2015
1198,Isabella,0,300000,0,300000,Other,2015
1199,Jackson,0,46000,0,46000,Other,2015
1200,Kalamazoo,0,147000000,0,147000000,Other,2015
1201,Kalkaska,0,45360000,0,45360000,Other,2015
1202,Kent,0,58610609,0,58610609,Other,2015
1203,Keweenaw,0,0,0,0,Other,2015
1204,Lake,0,0,0,0,Other,2015
1205,Lapeer,0,0,0,0,Other,2015
1206,Leelanau,0,52504954,0,52504954,Other,2015
1207,Lenawee,0,0,0,0,Other,2015
1208,Livingston,0,0,0,0,Other,2015
1209,Luce,0,0,0,0,Other,2015
1210,Mackinac,0,4000,0,4000,Other,2015
1211,Macomb,0,79850,0,79850,Other,2015
1212,Manistee,0,0,0,0,Other,2015
1213,Marquette,0,0,0,0,Other,2015
1214,Mason,0,50562080,0,50562080,Other,2015
1215,Mecosta,0,2433315,0,2433315,Other,2015
1216,Menominee,0,0,0,0,Other,2015
1217,Midland,0,0,0,0,Other,2015
1218,Missaukee,0,0,0,0,Other,2015
1219,Monroe,0,17798024,0,17798024,Other,2015
1220,Montcalm,0,410096400,0,410096400,Other,2015
1221,Montmorency,0,1265838,0,1265838,Other,2015
1222,Muskegon,0,300000,0,300000,Other,2015
1223,Newaygo,0,38800,0,38800,Other,2015
1224,Oakland,0,523187000,291873160,815060160,Other,2015
1225,Oceana,0,43167853,0,43167853,Other,2015
1226,Ogemaw,0,0,0,0,Other,2015
1227,Ontonagon,0,0,0,0,Other,2015
1228,Osceola,0,0,0,0,Other,2015
1229,Oscoda,0,0,0,0,Other,2015
1230,Otsego,0,0,0,0,Other,2015
1231,Ottawa,0,18287050,0,18287050,Other,2015
1232,Presque Isle,0,0,0,0,Other,2015
1233,Roscommon,0,0,0,0,Other,2015
1234,Saginaw,0,0,0,0,Other,2015
1235,Saint Clair,0,0,0,0,Other,2015
1236,Saint Joseph,0,993496275,0,993496275,Other,2015
1237,Sanilac,0,3588900,0,3588900,Other,2015
1238,Schoolcraft,0,0,0,0,Other,2015
1239,Shiawassee,0,71400,0,71400,Other,2015
1240,Tuscola,0,0,0,0,Other,2015
1241,Van Buren,0,24493968,0,24493968,Other,2015
1242,Washtenaw,0,552000,0,552000,Other,2015
1243,Wayne,0,0,0,0,Other,2015
1244,Wexford,0,50000,0,50000,Other,2015
1245,Alcona,0,22010080,0,22010080,Public Water Supply,2015
1246,Alger,0,149849550,0,149849550,Public Water Supply,2015
1247,Allegan,0,1500503561,0,1500503561,Public Water Supply,2015
1248,Alpena,737300000,1302585,0,738602585,Public Water Supply,2015
1249,Antrim,0,437416220,0,437416220,Public Water Supply,2015
1250,Arenac,15536607800,5462400,0,15542070200,Public Water Supply,2015
1251,Baraga,186670000,0,0,186670000,Public Water Supply,2015
1252,Barry,0,574059749,0,574059749,Public Water Supply,2015
1253,Bay,3292850400,0,0,3292850400,Public Water Supply,2015
1254,Benzie,0,247599097,0,247599097,Public Water Supply,2015
1255,Berrien,3540399000,1100885117,0,4641284117,Public Water Supply,2015
1256,Branch,0,1012431644,0,1012431644,Public Water Supply,2015
1257,Calhoun,0,4571930760,0,4571930760,Public Water Supply,2015
1258,Cass,0,444801320,0,444801320,Public Water Supply,2015
1259,Charlevoix,329431000,643880265,0,973311265,Public Water Supply,2015
1260,Cheboygan,0,359017799,0,359017799,Public Water Supply,2015
1261,Chippewa,633870000,347629400,0,981499400,Public Water Supply,2015
1262,Clare,0,407023600,0,407023600,Public Water Supply,2015
1263,Clinton,0,423871900,0,423871900,Public Water Supply,2015
1264,Crawford,0,241910526,0,241910526,Public Water Supply,2015
1265,Delta,997730000,29617450,0,1027347450,Public Water Supply,2015
1266,Dickinson,0,855933721,0,855933721,Public Water Supply,2015
1267,Eaton,0,960365219,0,960365219,Public Water Supply,2015
1268,Emmet,0,1400372913,0,1400372913,Public Water Supply,2015
1269,Genesee,0,1540342503,0,1540342503,Public Water Supply,2015
1270,Gladwin,0,162676061,0,162676061,Public Water Supply,2015
1271,Gogebic,0,541446200,0,541446200,Public Water Supply,2015
1272,Grand Traverse,2016040000,660738143,0,2676778143,Public Water Supply,2015
1273,Gratiot,0,732351100,100586300,832937400,Public Water Supply,2015
1274,Hillsdale,0,735272269,0,735272269,Public Water Supply,2015
1275,Houghton,0,1411412000,0,1411412000,Public Water Supply,2015
1276,Huron,758617160,182413789,0,941030949,Public Water Supply,2015
1277,Ingham,0,9521244481,0,9521244481,Public Water Supply,2015
1278,Ionia,0,1821502504,0,1821502504,Public Water Supply,2015
1279,Iosco,432920420,4061434,0,436981854,Public Water Supply,2015
1280,Iron,0,459531000,0,459531000,Public Water Supply,2015
1281,Isabella,0,1098650520,0,1098650520,Public Water Supply,2015
1282,Jackson,0,3957821252,0,3957821252,Public Water Supply,2015
1283,Kalamazoo,0,8886151307,0,8886151307,Public Water Supply,2015
1284,Kalkaska,0,148922500,0,148922500,Public Water Supply,2015
1285,Kent,25341068000,3287593995,0,28628661995,Public Water Supply,2015
1286,Keweenaw,0,17372900,0,17372900,Public Water Supply,2015
1287,Lake,0,93686130,0,93686130,Public Water Supply,2015
1288,Lapeer,0,145452400,0,145452400,Public Water Supply,2015
1289,Leelanau,0,181495069,0,181495069,Public Water Supply,2015
1290,Lenawee,0,1405806218,823800500,2229606718,Public Water Supply,2015
1291,Livingston,0,2526233582,0,2526233582,Public Water Supply,2015
1292,Luce,0,181962210,0,181962210,Public Water Supply,2015
1293,Mackinac,470210000,1303300,0,471513300,Public Water Supply,2015
1294,Macomb,1072789000,377394653,0,1450183653,Public Water Supply,2015
1295,Manistee,0,561524359,0,561524359,Public Water Supply,2015
1296,Marquette,847710000,1086336713,0,1934046713,Public Water Supply,2015
1297,Mason,816545000,79663900,0,896208900,Public Water Supply,2015
1298,Mecosta,0,465242758,0,465242758,Public Water Supply,2015
1299,Menominee,326070000,64967687,0,391037687,Public Water Supply,2015
1300,Midland,0,51672800,0,51672800,Public Water Supply,2015
1301,Missaukee,0,138443000,0,138443000,Public Water Supply,2015
1302,Monroe,3382388000,1308800,0,3383696800,Public Water Supply,2015
1303,Montcalm,0,1115950400,0,1115950400,Public Water Supply,2015
1304,Montmorency,0,43099625,0,43099625,Public Water Supply,2015
1305,Muskegon,5223057000,645971695,0,5869028695,Public Water Supply,2015
1306,Newaygo,0,681729850,0,681729850,Public Water Supply,2015
1307,Oakland,0,6974648328,0,6974648328,Public Water Supply,2015
1308,Oceana,0,422260768,0,422260768,Public Water Supply,2015
1309,Ogemaw,0,137999703,0,137999703,Public Water Supply,2015
1310,Ontonagon,133720000,26736987,0,160456987,Public Water Supply,2015
1311,Osceola,0,501814628,0,501814628,Public Water Supply,2015
1312,Oscoda,0,25100955,0,25100955,Public Water Supply,2015
1313,Otsego,0,403556430,0,403556430,Public Water Supply,2015
1314,Ottawa,6773793300,87353205,0,6861146505,Public Water Supply,2015
1315,Presque Isle,0,167659800,0,167659800,Public Water Supply,2015
1316,Roscommon,0,102672804,0,102672804,Public Water Supply,2015
1317,Saginaw,0,152474306,0,152474306,Public Water Supply,2015
1318,Saint Clair,3933789967,150935299,0,4084725267,Public Water Supply,2015
1319,Saint Joseph,0,1185602674,0,1185602674,Public Water Supply,2015
1320,Sanilac,110504000,460249280,0,570753280,Public Water Supply,2015
1321,Schoolcraft,120000000,6902460,0,126902460,Public Water Supply,2015
1322,Shiawassee,0,1055116757,0,1055116757,Public Water Supply,2015
1323,Tuscola,0,689424191,0,689424191,Public Water Supply,2015
1324,Van Buren,476750800,816945076,0,1293695876,Public Water Supply,2015
1325,Washtenaw,0,2348955422,4349191600,6698147022,Public Water Supply,2015
1326,Wayne,216539555739,0,0,216539555739,Public Water Supply,2015
1327,Wexford,0,967446209,0,967446209,Public Water Supply,2015
1328,Alcona,0,181118378,13326762,194445140,Total All Sectors,2018
1329,Alger,1664200000,275161275,0,1939361275,Total All Sectors,2018
1330,Allegan,0,5505619266,2462092403,7967711669,Total All Sectors,2018
1331,Alpena,522118305000,19467720,22094356950,544232129670,Total All Sectors,2018
1332,Antrim,0,2542155272,41232565,2583387837,Total All Sectors,2018
1333,Arenac,18711323766,73346796,62893523,18847564085,Total All Sectors,2018
1334,Baraga,6085516444,0,0,6085516444,Total All Sectors,2018
1335,Barry,0,1863886370,333041138,2196927508,Total All Sectors,2018
1336,Bay,2791318900,58702447,94894104394,97744125741,Total All Sectors,2018
1337,Benzie,0,1210747045,5076382080,6287129125,Total All Sectors,2018
1338,Berrien,777316773000,3751735766,496034567,781564543333,Total All Sectors,2018
1339,Branch,0,5817177286,2034301053,7851478339,Total All Sectors,2018
1340,Calhoun,0,8368333026,1313432669,9681765695,Total All Sectors,2018
1341,Cass,0,8585282804,596831930,9182114734,Total All Sectors,2018
1342,Charlevoix,250939000,4837065884,961648628,6049653512,Total All Sectors,2018
1343,Cheboygan,0,407719341,398315605,806034947,Total All Sectors,2018
1344,Chippewa,590540000,349428709,0,939968709,Total All Sectors,2018
1345,Clare,0,565607588,899124000,1464731588,Total All Sectors,2018
1346,Clinton,0,1260955229,1019288129,2280243358,Total All Sectors,2018
1347,Crawford,0,473040449,3028529126,3501569575,Total All Sectors,2018
1348,Delta,14995625000,101644137,173752152,15271021289,Total All Sectors,2018
1349,Dickinson,0,827286595,7211615215,8038901810,Total All Sectors,2018
1350,Eaton,0,1099727576,467004061,1566731637,Total All Sectors,2018
1351,Emmet,80500000,2624867865,72370000,2777737865,Total All Sectors,2018
1352,Genesee,0,1534256754,48403230,1582659984,Total All Sectors,2018
1353,Gladwin,0,151230807,840200,152071007,Total All Sectors,2018
1354,Gogebic,0,612118960,42000000,654118960,Total All Sectors,2018
1355,Grand Traverse,2025967000,1099087139,60439794,3185493933,Total All Sectors,2018
1356,Gratiot,0,2762957392,323737518,3086694910,Total All Sectors,2018
1357,Hillsdale,0,3048473718,389267291,3437741009,Total All Sectors,2018
1358,Houghton,0,958666511,6939000,965605511,Total All Sectors,2018
1359,Huron,667426000,422743030,282748526,1372917556,Total All Sectors,2018
1360,Ingham,0,12421038254,36181892049,48602930303,Total All Sectors,2018
1361,Ionia,0,2364320896,193133159,2557454055,Total All Sectors,2018
1362,Iosco,413849200,369222265,12526994,795598459,Total All Sectors,2018
1363,Iron,0,451701400,21477538,473178938,Total All Sectors,2018
1364,Isabella,0,2671982097,780872542,3452854639,Total All Sectors,2018
1365,Jackson,0,6811019480,517194671,7328214151,Total All Sectors,2018
1366,Kalamazoo,0,20493341760,2590514858,23083856618,Total All Sectors,2018
1367,Kalkaska,0,940217686,256944981,1197162667,Total All Sectors,2018
1368,Kent,26667120000,4992560404,965512641,32625193045,Total All Sectors,2018
